Country,Code,Indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP (current US$),2390502793.00,2549720670.00,2534636872.00,2701675978.00,2765363128.00,2919553073.00,2965921788.00,3056424581.00,3056424581.00,3056424581.00
Afghanistan,AFG,GDP (current US$),15856574731.00,17804292964.00,20001598506.00,20561069558.00,20484885120.00,19907111419.00,19362642267.00,20191760000.00,19484384937.00,19101353833.00
Angola,AGO,GDP (current US$),83799496611.00,112000000000.00,128000000000.00,137000000000.00,146000000000.00,116000000000.00,101000000000.00,122000000000.00,101000000000.00,94635415870.00
Albania,ALB,GDP (current US$),11926928506.00,12890765324.00,12319830252.00,12776217195.00,13228144008.00,11386846319.00,11861200797.00,13019693451.00,15147020535.00,15278077447.00
Andorra,AND,GDP (current US$),3449966857.00,3629203786.00,3188808943.00,3193704343.00,3271808157.00,2789870188.00,2896679212.00,3000180750.00,3218316013.00,3154057987.00
Arab World,ARB,GDP (current US$),2110000000000.00,2490000000000.00,2770000000000.00,2860000000000.00,2890000000000.00,2530000000000.00,2460000000000.00,2510000000000.00,2770000000000.00,2820000000000.00
United Arab Emirates,ARE,GDP (current US$),290000000000.00,351000000000.00,375000000000.00,390000000000.00,403000000000.00,358000000000.00,357000000000.00,386000000000.00,422000000000.00,421000000000.00
Argentina,ARG,GDP (current US$),424000000000.00,530000000000.00,546000000000.00,552000000000.00,526000000000.00,595000000000.00,558000000000.00,643000000000.00,520000000000.00,450000000000.00
Armenia,ARM,GDP (current US$),9260284938.00,10142111334.00,10619320049.00,11121465767.00,11609512940.00,10553337673.00,10546135160.00,11527458566.00,12457941907.00,13672802158.00
American Samoa,ASM,GDP (current US$),576000000.00,574000000.00,644000000.00,641000000.00,642000000.00,661000000.00,652000000.00,602000000.00,636000000.00,636000000.00
Antigua and Barbuda,ATG,GDP (current US$),1148700000.00,1137637037.00,1199948148.00,1181448148.00,1249733333.00,1336692593.00,1436585185.00,1467977778.00,1610574074.00,1727759259.00
Australia,AUS,GDP (current US$),1150000000000.00,1400000000000.00,1550000000000.00,1580000000000.00,1470000000000.00,1350000000000.00,1210000000000.00,1330000000000.00,1430000000000.00,1390000000000.00
Austria,AUT,GDP (current US$),392000000000.00,431000000000.00,409000000000.00,430000000000.00,442000000000.00,382000000000.00,395000000000.00,418000000000.00,456000000000.00,446000000000.00
Azerbaijan,AZE,GDP (current US$),52902703376.00,65951627200.00,69683935845.00,74164435946.00,75244294275.00,53074370486.00,37867518957.00,40865558912.00,47112941176.00,48047647059.00
Burundi,BDI,GDP (current US$),2032135247.00,2235820868.00,2333308099.00,2451625333.00,2705783272.00,3104394858.00,2959640987.00,3172292379.00,3036931818.00,3012334882.00
Belgium,BEL,GDP (current US$),481000000000.00,523000000000.00,496000000000.00,522000000000.00,535000000000.00,462000000000.00,476000000000.00,504000000000.00,543000000000.00,530000000000.00
Benin,BEN,GDP (current US$),9535344283.00,10693321954.00,11141358945.00,12517845732.00,13284528654.00,11388160958.00,11821066153.00,12701656931.00,14250985959.00,14390709095.00
Burkina Faso,BFA,GDP (current US$),10109618964.00,12080296644.00,12561016091.00,13444301139.00,13943016924.00,11832159276.00,12822558022.00,14169905602.00,16199434625.00,15745810235.00
Bangladesh,BGD,GDP (current US$),115000000000.00,129000000000.00,133000000000.00,150000000000.00,173000000000.00,195000000000.00,221000000000.00,250000000000.00,274000000000.00,303000000000.00
Bulgaria,BGR,GDP (current US$),50363282117.00,57363610380.00,54013812089.00,55591336862.00,56883172568.00,50630703922.00,53785050339.00,58950125036.00,66200847918.00,67927179737.00
Bahrain,BHR,GDP (current US$),25713271277.00,28776595745.00,30749308511.00,32539468085.00,33387712766.00,31125851064.00,32250132979.00,35423643617.00,37652500000.00,38574069149.00
"Bahamas, The",BHS,GDP (current US$),10095760000.00,10070450000.00,10720500000.00,10562700000.00,10913300000.00,11752300000.00,11938400000.00,12150400000.00,12424500000.00,12827000000.00
Bosnia and Herzegovina,BIH,GDP (current US$),17176781337.00,18644723861.00,17226849297.00,18178503835.00,18558343508.00,16211541253.00,16913330694.00,18080118128.00,20183498491.00,20047848435.00
Belarus,BLR,GDP (current US$),57222490769.00,61757788945.00,65685102555.00,75527984234.00,78813839984.00,56454734397.00,47722657821.00,54726595249.00,60031262269.00,63080457023.00
Belize,BLZ,GDP (current US$),1377200000.00,1460800000.00,1522900000.00,1579400000.00,1662800000.00,1723800000.00,1775100000.00,1836600000.00,1871200000.00,1879613600.00
Bermuda,BMU,GDP (current US$),5744414000.00,5550771000.00,5537537000.00,5573710000.00,,,,,5573710000.00,5573710000.00
Bolivia,BOL,GDP (current US$),19649631451.00,23963033588.00,27084497540.00,30659338784.00,32996188133.00,33000198263.00,33941126194.00,37508642113.00,40287647902.00,40895322865.00
Brazil,BRA,GDP (current US$),2210000000000.00,2620000000000.00,2470000000000.00,2470000000000.00,2460000000000.00,1800000000000.00,1800000000000.00,2060000000000.00,1890000000000.00,1840000000000.00
Barbados,BRB,GDP (current US$),4530000000.00,4657500000.00,4610000000.00,4677000000.00,4696500000.00,4715000000.00,4830000000.00,4978000000.00,5086500000.00,5209000000.00
Brunei Darussalam,BRN,GDP (current US$),13707370737.00,18525319978.00,19047940300.00,18093829923.00,17098342541.00,12930394938.00,11400854268.00,12128104859.00,13567351175.00,13469422941.00
Bhutan,BTN,GDP (current US$),1547991318.00,1777101317.00,1781281282.00,1756215665.00,1907090813.00,2003598213.00,2158972129.00,2450364928.00,2446674102.00,2446674102.00
Botswana,BWA,GDP (current US$),12786654366.00,15351972230.00,14420393564.00,14901750765.00,16250750259.00,14420604206.00,15646316818.00,17405538618.00,18663264706.00,18340510789.00
Central African Republic,CAF,GDP (current US$),2142591376.00,2437982840.00,2510126699.00,1691544192.00,1894813505.00,1695825708.00,1825018191.00,2072350151.00,2220978978.00,2220307369.00
Canada,CAN,GDP (current US$),1610000000000.00,1790000000000.00,1830000000000.00,1850000000000.00,1800000000000.00,1560000000000.00,1530000000000.00,1650000000000.00,1720000000000.00,1740000000000.00
Central Europe and the Baltics,CEB,GDP (current US$),1310000000000.00,1450000000000.00,1350000000000.00,1420000000000.00,1470000000000.00,1290000000000.00,1320000000000.00,1460000000000.00,1640000000000.00,1660000000000.00
Switzerland,CHE,GDP (current US$),584000000000.00,700000000000.00,668000000000.00,689000000000.00,709000000000.00,680000000000.00,671000000000.00,680000000000.00,705000000000.00,703000000000.00
Channel Islands,CHI,GDP (current US$),,,,,,,,,,
Chile,CHL,GDP (current US$),219000000000.00,252000000000.00,267000000000.00,278000000000.00,261000000000.00,244000000000.00,250000000000.00,277000000000.00,298000000000.00,282000000000.00
China,CHN,GDP (current US$),6090000000000.00,7550000000000.00,8530000000000.00,9570000000000.00,10500000000000.00,11100000000000.00,11200000000000.00,12300000000000.00,13900000000000.00,14300000000000.00
Cote d'Ivoire,CIV,GDP (current US$),24908781285.00,25414875503.00,26789047555.00,31273074528.00,35363533866.00,45814637971.00,47964234560.00,51588158718.00,57724731365.00,58792205642.00
Cameroon,CMR,GDP (current US$),26169323293.00,29375448542.00,29102772799.00,32357345501.00,34989493826.00,30928653814.00,32643697596.00,35009262788.00,38694095651.00,38760467033.00
"Congo, Dem. Rep.",COD,GDP (current US$),21565720044.00,25839749199.00,29306235826.00,32679745298.00,35909040266.00,37917704900.00,37134799975.00,38019265626.00,46831342213.00,47319624204.00
"Congo, Rep.",COG,GDP (current US$),12019594809.00,14444509756.00,13677147848.00,14089855509.00,14196322768.00,8556594871.00,9041986778.00,9035182062.00,11662700148.00,10820591131.00
Colombia,COL,GDP (current US$),287000000000.00,335000000000.00,371000000000.00,382000000000.00,381000000000.00,293000000000.00,283000000000.00,312000000000.00,334000000000.00,324000000000.00
Comoros,COM,GDP (current US$),907978723.50,1023086184.00,1015843369.00,1116224161.00,1149587652.00,966029542.00,1012835518.00,1077439663.00,1178530758.00,1185728677.00
Cabo Verde,CPV,GDP (current US$),1664310770.00,1865915544.00,1741809809.00,1850470042.00,1859898513.00,1596800287.00,1662998678.00,1769787215.00,1966983316.00,1981845741.00
Costa Rica,CRI,GDP (current US$),37268614024.00,42262697840.00,46473128286.00,49745088112.00,50577769838.00,54775994479.00,57157992434.00,58481858043.00,60553901420.00,61773944174.00
Caribbean small states,CSS,GDP (current US$),63364789294.00,68552917331.00,70849598299.00,72231768542.00,73185354885.00,71787351548.00,68222566249.00,69913144887.00,73459161489.00,76290373254.00
Cuba,CUB,GDP (current US$),64328000000.00,68990000000.00,73141000000.00,77148000000.00,80656000000.00,87133000000.00,91370000000.00,96851000000.00,100000000000.00,100000000000.00
Curacao,CUW,GDP (current US$),,3038699609.00,3131096089.00,3147616201.00,3158406034.00,3151910782.00,3122287933.00,3116610112.00,3127908045.00,3127908045.00
Cayman Islands,CYM,GDP (current US$),4156935677.00,4186223809.00,4291159006.00,4405954638.00,4563017881.00,4708336733.00,4898908676.00,5141833913.00,5485419417.00,5485419417.00
Cyprus,CYP,GDP (current US$),25732432719.00,27565469098.00,24978513427.00,23900872626.00,23128114787.00,19779150116.00,20890936462.00,22638608224.00,24961995749.00,24564647935.00
Czech Republic,CZE,GDP (current US$),207000000000.00,228000000000.00,207000000000.00,209000000000.00,208000000000.00,187000000000.00,195000000000.00,216000000000.00,245000000000.00,246000000000.00
Germany,DEU,GDP (current US$),3400000000000.00,3740000000000.00,3530000000000.00,3730000000000.00,3880000000000.00,3360000000000.00,3470000000000.00,3670000000000.00,3950000000000.00,3850000000000.00
