not_associated,la_low,la_med,la_high,iuu_low,iuu_med,iuu_high,country,port,lat,lon,port_id
0,1,0,0,1,0,0,American Samoa and Guam,"Apra harbour, Guam",13.4533,144.6535,p158
0,1,0,0,0,1,0,American Samoa and Guam,"Pago pago, American Samoa",-14.2812,-170.6909,p300
0,1,0,0,1,0,0,Antigua & Barbuda,Saint John's Harbour,17.1228,-61.8536,p159
1,0,0,0,0,0,0,Argentina,Bahia Blanca,-38.78944192,-62.27320344,p369
1,0,1,0,0,1,0,Argentina,Buenos Aires,-34.5992,-58.3714,p715
0,1,0,0,1,0,0,Argentina,Comodoro Rivadavia,-45.8558,-67.4656,p160
1,0,0,0,0,0,0,Argentina,Fray Bentos,-33.1167,-58.3167,p370
1,0,0,0,0,0,0,Argentina,La Plata,-34.8553,-57.8942,p371
0,0,0,0,0,1,0,Argentina,Mar Del Plata,-38.0428,-57.5333,p234
1,0,0,0,0,0,0,Argentina,Puerto Belgrano,-38.8944,-62.1014,p372
1,0,0,0,0,0,0,Argentina,Puerto Coronel Rosales,-38.9239,-62.0725,p373
0,0,1,0,0,2,0,Argentina,Puerto Deseado,-47.7556,-65.9064,p333
1,0,0,0,0,0,0,Argentina,Puerto Galvan,-38.7831,-62.3008,p374
1,0,0,0,0,0,0,Argentina,Puerto Ingeniero White,-38.7919,-62.2656,p375
0,0,1,0,0,2,0,Argentina,Puerto Madryn,-42.7361,-65.0333,p334
1,0,0,0,0,0,0,Argentina,Puerto Nacional,-38.78890773,-62.28517188,p376
0,0,1,0,0,2,0,Argentina,Puerto Rio Gallegos,-51.606951,-69.01917399999999,p335
0,0,0,0,0,1,0,Argentina,Puerto San Julian,-49.2997,-67.7203,p235
0,0,0,0,0,1,0,Argentina,Puerto Santa Cruz,-50.0197,-68.52,p236
1,0,0,0,0,0,0,Argentina,Quequen,-38.5756,-58.7172,p377
1,0,0,0,0,0,0,Argentina,Rio Grande,-53.7944,-67.7039,p378
1,0,0,0,0,0,0,Argentina,San Blas,-40.5667,-62.2333,p379
1,0,0,0,0,0,0,Argentina,San Sebastian,-53.273167,-68.21200400000001,p380
1,0,0,0,0,1,0,Argentina,Ushuaia,-54.8094,-68.3014,p711
1,0,0,0,0,0,0,Australia,Albany,-35.0317,117.8886,p381
0,1,0,0,0,1,0,Australia,Darwin,-12.4703,130.8578,p301
1,0,0,0,0,0,0,Australia,Fremantle,-32.0475,115.7408,p382
1,0,0,0,0,0,0,Bahamas,Freeport,26.5244,-78.7669,p383
1,0,0,0,0,0,0,Bahamas,Nassau,25.0767,-77.3239,p384
0,1,0,0,0,0,1,Bangladesh,Chittagong,22.2689,91.8311,p197
2,0,0,0,0,0,0,Barbados,Bridgetown,13.1069,-59.6283,p732
0,0,1,0,0,0,1,Benin,Cotonou,6.3467,2.4256,p146
1,0,0,0,0,0,0,Bermuda,Freeport,32.3242,-64.835,p385
