participant,date,type
Albania,4/7/17,ACS
Australia,7/20/15,RAT
Bahamas,10/7/16,ACS
Bangladesh,12/20/19,ACS
Barbados,2/2/16,ACS
Cabo Verde,6/23/16,ACS
Cambodia,12/6/19,ACS
Canada,6/20/19,RAT
Chile,8/28/12,RAT
Costa Rica,12/4/15,ACS
Cuba,3/25/16,ACS
Côte d'Ivoire,10/23/19,ACS
Denmark,11/28/17,ACS
Djibouti,11/27/17,ACS
Dominica,5/6/16,ACS
Ecuador,2/5/19,ACS
EU,7/7/11,APP
Fiji,2/13/19,ACS
France,7/11/16,APP
Gabon,11/15/13,ACP
Gambia,7/29/16,ACS
Ghana,11/29/16,RAT
Grenada,6/17/16,ACS
Guinea,6/3/16,ACS
Guyana,3/7/16,ACS
Iceland,6/16/15,RAT
Indonesia,6/23/16,RAT
Japan,5/19/17,ACS
Kenya,8/23/17,RAT
Liberia,5/21/19,ACS
Libya,11/5/18,ACS
Madagascar,3/27/17,ACS
Maldives,3/17/17,ACS
Mauritania,1/23/17,ACS
Mauritius,8/31/15,ACS
Montenegro,5/17/17,ACS
Mozambique,8/19/14,RAT
Myanmar,11/22/10,ACS
Namibia,7/18/17,ACS
New Zealand,2/21/14,RAT
Norway,7/20/11,RAT
Oman,8/1/13,ACS
Palau,11/30/15,ACS
Panama,11/21/16,ACS
Peru,9/27/17,RAT
Philippines,4/26/18,ACS
South Korea,1/14/16,ACS
Saint Kitts and Nevis,12/9/15,ACS
Saint Vincent and the Grenadines,6/23/16,ACS
São Tomé and Príncipe,11/22/16,ACS
Senegal,3/23/17,ACS
Seychelles,6/19/13,ACS
Sierra Leone,9/17/18,ACS
Somalia,11/9/15,ACS
South Africa,2/16/16,ACS
Sri Lanka,1/20/11,ACS
Sudan,5/12/16,ACS
Thailand,5/6/16,ACS
Togo,12/2/16,ACS
Tonga,5/6/16,ACS
Trinidad & Tobago,10/24/19,ACS
Turkey,3/30/18,RAT
United States,2/26/16,RAT
Uruguay,2/28/13,RAT
Vanuatu,5/6/16,ACS
Vietnam,1/3/19,ACS
Belgium,7/7/11,APP
France,7/7/11,APP
Germany,7/7/11,APP
Italy,7/7/11,APP
Luxembourg,7/7/11,APP
Netherlands,7/7/11,APP
Denmark,7/7/11,APP
Ireland,7/7/11,APP
United Kingdom,7/7/11,APP
Greece,7/7/11,APP
Portugal,7/7/11,APP
Spain,7/7/11,APP
Australia,7/7/11,APP
Finland,7/7/11,APP
Sweden,7/7/11,APP
Cyprus,7/7/11,APP
Czech Republic,7/7/11,APP
Estonia,7/7/11,APP
Hungary,7/7/11,APP
Latvia,7/7/11,APP
Lithuania,7/7/11,APP
Malta,7/7/11,APP
Poland,7/7/11,APP
Slovakia,7/7/11,APP
Slovenia,7/7/11,APP
Bulgaria,7/7/11,APP
Romania,7/7/11,APP
Croatia,7/7/11,APP
